"nazwisko","party","votes_2007","votes_2011","percent_2007","percent_2011","position_2007","position_2011","mandate_2007","mandate_2011","district","l_os_lista2007","l_os_lista2011","o_ile","o_ile_procent","id","gender","mandat_2007","liczba","liczba_osob","partia_dummy","position_change_new"
"SKARBIŃSKA-POZNAŃSKA Alicja",1,965,622,1.18,0.22,11,13,2,2,32,18,18,-2,-0.96,73,1,0,1,180,1,2
"CIEŚLIK Leszek Stanisław",2,9564,5378,6.4,1.25,2,7,1,2,24,30,28,-5,-5.15,142,0,1,1,180,0,2
"ĆWIERZ Andrzej Bogusław",1,6903,5799,4.73,1.95,3,10,1,2,22,22,22,-7,-2.78,6,0,1,1,180,1,2
"PALUCH Anna",1,14972,9764,5.03,3.5,2,3,1,1,14,18,20,-1,-1.53,342,1,1,1,180,1,2
"MĘŻYDŁO Antoni",2,42052,17077,10.71,4.86,1,3,1,1,5,26,26,-2,-5.85,433,0,1,1,180,0,2
"WITCZAK Witold Jacek",1,6289,3839,2.15,1.47,5,17,2,2,10,18,17,-12,-0.68,317,0,0,1,180,1,2
"PAŃKA Urszula",2,4482,3051,2.08,0.8,10,21,2,2,41,26,23,-11,-1.28,261,1,0,1,180,0,2
"KRACZKOWSKI Maks",1,11756,10389,18.12,4,1,2,1,1,38,18,18,-1,-14.12,106,0,1,1,180,1,2
"SUCHOWIEJKO Wiesław Jacek",2,5967,8724,5.27,4.06,4,6,2,1,40,16,16,-2,-1.21,254,0,0,1,180,0,2
"SIPIERA Zdzisław Tadeusz",1,3499,844,0.76,0.19,6,12,2,2,20,22,24,-6,-0.57,397,0,0,1,180,1,2
"KORCZ Jolanta",1,991,1404,1.05,0.35,10,18,2,2,39,20,20,-8,-0.7,108,1,0,1,180,1,2
"KOWALSKI Bogusław",1,7259,5196,1.97,1.52,5,6,1,2,18,24,24,-1,-0.45,379,0,1,1,180,1,2
